title,description,age_min,age_max,subject,activity_type,duration_minutes,emoji,benefit_explanation,instructions_for_parent,learning_objectives,materials_needed,safety_warnings,skills_improved,step_1_title,step_1_instruction,step_2_title,step_2_instruction,step_3_title,step_3_instruction
"Stack & Topple","Toddler stacks soft blocks then knocks them down with glee.",24,36,"motor","hands_on",10,"🧱","Builds hand-eye coordination, cause-and-effect understanding, and grip strength.","Sit on the floor with your toddler and model stacking 2-3 blocks before letting them try.","Hand-eye coordination|Cause and effect|Patience","Soft foam or fabric blocks (6-8)","Use only soft blocks; remove any with sharp edges.","fine_motor|spatial_awareness","Set up","Lay 6 soft blocks on the floor in front of your toddler.","Show + try","Stack 2 blocks slowly. Cheer when they topple.","Repeat","Let your toddler stack and knock down at their own pace."
"Bubble Chase","Toddler chases bubbles, learning whole-body movement and tracking.",24,42,"motor","outdoor",15,"🫧","Trains visual tracking, gross-motor coordination, and joyful movement.","Use a non-toxic bubble solution. Stay near the toddler outdoors.","Visual tracking|Gross motor|Joyful play","Bubble solution and wand","Bubbles can be slippery on hard surfaces — play on grass or rug.","gross_motor|tracking","Blow bubbles","Send a few bubbles into the air.","Chase + pop","Encourage your toddler to chase, pat, and pop them.","Rest break","Sit down together and count the last few bubbles."
"Animal Sounds","Toddler matches stuffed animals to the sound each one makes.",18,36,"language","game",10,"🐮","Builds first-word vocabulary and listening comprehension.","Use exaggerated, friendly animal sounds and pause to let the toddler imitate.","First words|Listening|Imitation","3-5 stuffed animals or animal flashcards","Avoid sounds that startle (no loud roars).","language|listening","Line up animals","Place the animals in a row.","Make the sound","Pick one up and say its name + sound (e.g. cow + 'moo').","Toddler echoes","Wait for the toddler to imitate; cheer any attempt."
"Sticker Page","Toddler peels stickers and places them on a paper shape.",24,42,"art","craft",10,"🎨","Develops pincer grip, focus, and self-expression.","Sit beside your toddler. Use large, easy-peel stickers.","Fine motor|Focus|Choice","Paper with a printed shape outline|Large stickers","Stickers are not edible — supervise closely.","fine_motor|focus","Choose a shape","Show the toddler the outline (circle, heart).","Peel + place","Demonstrate peeling one and placing it inside the shape.","Free fill","Let the toddler fill the shape with their own choices."
"Big & Little Sort","Toddler sorts objects into 'big' and 'little' piles.",30,48,"cognitive","sorting",10,"🧮","Introduces comparative thinking and one-attribute classification.","Use 6-8 obvious size pairs (big spoon vs little spoon, etc.).","Comparison|Classification|First math","Pairs of big/little household items","Choose unbreakable items only.","cognitive|early_math","Show the piles","Place one 'big' and one 'little' pile divider in front.","Sort together","Hand items one at a time; ask 'big or little?'","Celebrate","Cheer when finished and count each pile aloud."
"Mirror Faces","Toddler mimics emotional faces in a mirror with a parent.",18,36,"social","interactive",8,"😊","Develops emotional vocabulary and empathy through facial mirroring.","Use a safe mirror or your phone in selfie mode.","Emotion words|Mirroring|Connection","A small mirror or phone camera","Hold the mirror so the toddler can't grab and drop it.","emotional|social","Look together","Sit cheek-to-cheek looking at the mirror.","Make a face","Pull a happy, then sad, then surprised face. Name each.","Take turns","Let the toddler make a face — name what you see."
"Dough Squish","Toddler squishes, rolls, and pokes play dough.",24,48,"sensory","hands_on",15,"🟢","Sensory regulation + finger strength + creative exploration.","Use a clean surface. Roll a snake yourself to spark imitation.","Sensory|Fine motor|Creativity","Non-toxic play dough (or homemade flour dough)","Supervise — dough is not for eating.","sensory|fine_motor","Open dough","Open the container together; hand the toddler a piece.","Show squish","Squish it slowly between your palms. Make a sound.","Roll a snake","Roll a snake; let the toddler poke it with one finger."
"Where's the Penguin?","Hide a toy and let the toddler find it under a blanket.",18,30,"cognitive","game",8,"🐧","Object permanence + memory + delight.","Use one small toy and a thin blanket.","Object permanence|Memory|Anticipation","A small soft toy|A thin blanket","Keep the blanket short — never cover the toddler's face.","cognitive|memory","Show the toy","Hold up the toy and name it ('Penguin!').","Hide","Cover it with the blanket as the toddler watches.","Reveal","Ask 'where's the penguin?' and lift the blanket together."
"Roll the Ball","Toddler rolls a ball back and forth with a parent.",18,36,"motor","game",10,"⚽","Turn-taking + bilateral coordination + connection.","Sit facing each other 2-3 feet apart on a soft surface.","Turn-taking|Coordination|Reciprocity","A medium soft ball","Avoid hard balls and slippery floors.","gross_motor|social","Sit + face","Sit on the floor facing each other.","Roll","Roll the ball gently toward the toddler.","Return","Wait for them to roll it back — encourage with smiles."
"Crayon Scribble","Toddler holds a chunky crayon and scribbles freely.",24,42,"art","creative",10,"🖍️","Early mark-making, grip strength, and self-expression.","Use chunky toddler crayons that fit a fist grip.","Mark-making|Grip|Expression","Chunky crayons|Large paper","Crayons should be non-toxic; supervise mouth.","fine_motor|art","Tape paper","Tape paper to the table so it doesn't slide.","Demo grip","Hold a crayon in a fist and scribble slowly.","Toddler tries","Hand them a crayon — applaud any mark."
"Story Time Snuggle","A short rhyming book read together with full attention.",18,42,"literacy","reading",10,"📚","Builds vocabulary, attachment, and listening stamina.","Pick a board book with rhymes and pictures. No screens.","Vocabulary|Listening|Attachment","One board book","Avoid books with small parts that detach.","language|attachment","Snuggle","Get cosy on the couch or floor.","Read","Read slowly, pointing at pictures.","Pause + ask","Pause and ask 'what's this?' on every page."
"Water Pouring","Toddler pours water between two cups over a tray.",30,48,"sensory","experiment",15,"💧","Volume, cause-and-effect, hand-eye coordination.","Use a contained tray. Towel ready.","Volume|Coordination|Curiosity","2 small plastic cups|A shallow tray|A towel","Use water only — never hot. Mop spills immediately.","fine_motor|cause_effect","Set tray","Place the tray on a low table.","Fill first cup","Pour water into the first cup; hand it to the toddler.","Pour + observe","Encourage pouring back and forth; talk about full + empty."
"One, Two, Toes","Count the toddler's toes during dressing or bath.",18,36,"math","routine",5,"🦶","Early counting + bonding during daily routines.","Use a sing-song voice for the count.","Counting 1-5|Body parts|Routine","No materials needed","No safety concerns.","numeracy|body_awareness","Hold a foot","Sit them down and hold one foot.","Count","Touch each toe and count 1, 2, 3, 4, 5.","Other foot","Repeat on the other foot."
"Sing the Greeting","Sing a hello song with simple gestures.",18,36,"social","vocal",5,"👋","Welcomes the toddler to the day; builds rhythm and ritual.","Use the same melody every time so they anticipate it.","Greeting|Rhythm|Routine","Just your voice","No safety concerns.","social|rhythm","Make eye contact","Sit facing each other.","Sing + wave","Sing 'Hello, hello, hello to you!' while waving.","Toddler joins","Encourage a return wave or sing-back."
"Color Hunt","Find five red things in the room.",30,48,"language","game",10,"🔴","Color vocabulary + observation skills.","Pick one color per round; switch colors next time.","Color names|Observation|Vocabulary","No materials needed","No safety concerns.","language|observation","Choose color","Say 'today's color is RED!'","Hunt","Walk around together pointing at red things; name each.","Count","Count the red things you found."
"Soft Tunnel Crawl","Toddler crawls through a fabric tunnel.",24,42,"motor","gross_motor",15,"🚇","Whole-body coordination + spatial awareness + confidence.","Hold the tunnel steady. Cheer from the other end.","Coordination|Body awareness|Confidence","A pop-up fabric tunnel or sheet over chairs","Tunnel must be open at both ends — never sealed.","gross_motor|spatial","Set tunnel","Position the tunnel on a clear floor.","Demonstrate","Crawl through yourself first if needed.","Toddler tries","Encourage them through; cheer at the exit."
"Fruit Names","Name fruits one at a time during snack.",18,36,"language","real_world",5,"🍎","Vocabulary building tied to a real daily moment.","Use one or two fruits per session.","Fruit vocabulary|Real-world language","Real fruits","Avoid choking-hazard sizes — slice grapes lengthwise.","language|real_world","Show fruit","Hold up an apple. Say 'apple.'","Toddler repeats","Wait for them to say or attempt the word.","Taste","Offer a small bite and name it again."
"Goodbye Wave","Practice waving goodbye at every leaving moment.",18,36,"social","routine",3,"👋","Develops social ritual, predictability, and emotional regulation around separation.","Use the same words every time.","Social ritual|Predictability|Emotional regulation","No materials needed","No safety concerns.","social|emotional","Say 'bye bye'","Use the same warm tone every time.","Wave","Wave your hand visibly.","Toddler joins","Cheer any attempt — even a head turn counts."
"Soft Cymbal Pat","Tap two soft cymbals or pot lids together.",18,36,"art","vocal",5,"🥁","Rhythm, cause-and-effect, joyful sound-making.","Use SOFT cymbals or fabric drums to avoid harsh sounds.","Rhythm|Cause and effect|Joy","2 soft cymbals or upturned plastic bowls","Avoid metal cymbals — too loud.","rhythm|fine_motor","Hand cymbals","Give one to the toddler, keep one yourself.","Pat together","Tap yours; encourage them to tap theirs.","Make a beat","Tap a slow steady beat and watch them copy."
"Bird Watch","Watch birds from a window and name what you see.",24,48,"science","observation",10,"🐦","Observation, patience, and first nature vocabulary.","Best near a window with a feeder or tree.","Observation|Patience|Nature words","A window or balcony","Make sure the toddler can't climb on furniture.","observation|language","Sit together","Sit at the window quietly.","Look","Point at any bird. Whisper its color or movement.","Talk after","Describe what you saw together once the bird is gone."
"Cup Stacking","Stack 3 plastic cups upside-down.",30,48,"motor","hands_on",10,"🥤","Fine motor + planning + early engineering.","Choose lightweight plastic cups.","Fine motor|Planning|Engineering","3-5 plastic cups","Avoid glass or any hard cups.","fine_motor|planning","Lay out cups","Place cups upside down in front of the toddler.","Stack","Stack 2 yourself. Hand them the third.","Topple + reset","Let them knock and reset; repeat."
"Hello Mirror","Toddler waves to themselves in a full mirror.",18,30,"social","interactive",5,"🪞","Self-recognition + emotional safety.","Use a stable, mounted mirror.","Self-recognition|Emotional safety","A wall mirror","Mirror must be securely mounted.","social|self","Stand together","Stand in front of the mirror.","Wave","Wave at the toddler in the mirror.","Toddler waves","Watch them recognise and wave back."
"Bath Pour","During bath, pour water from one cup to another.",24,48,"sensory","routine",10,"🛁","Sensory regulation + fine motor + routine joy.","Make this a regular bath ritual.","Sensory|Routine|Pouring","2 bath-safe cups","Never leave a toddler unattended in water.","sensory|routine","Hand cups","Place 2 cups in the bath.","Demonstrate","Pour from one to the other slowly.","Toddler pours","Help them pour; cheer the splash."
"Imitate the Animal","Crawl like a cat, hop like a bunny, walk like an elephant.",24,42,"motor","play",10,"🐰","Gross motor + body awareness + imagination.","Choose 2-3 animals per session.","Gross motor|Imagination|Body awareness","Clear floor space","Move soft furniture away.","gross_motor|imagination","Pick animal","Say 'let's be cats!'","Demonstrate","Crawl on hands and knees, slowly.","Switch","Switch animals every minute or two."
"Sock Sort","Match pairs of socks fresh out of the dryer.",30,48,"cognitive","real_world",10,"🧦","Matching skills + helping with real chores.","Use 4-6 obvious pairs.","Matching|Helpfulness|Pattern","Mixed clean socks","No safety concerns.","cognitive|matching","Dump socks","Pour clean socks on the floor.","Find a match","Pick one; hunt for its pair together.","Pile pairs","Stack matched pairs in a tidy row."
"Echo Song","Sing a phrase, toddler echoes it back.",18,36,"language","vocal",8,"🎵","Listening + memory + speech rhythm.","Use very short phrases at first ('la la la').","Listening|Memory|Speech","Just your voice","No safety concerns.","language|memory","Sing first","Sing a short phrase clearly.","Wait","Pause for the toddler to echo.","Cheer","Cheer any attempt; lengthen the phrase next time."
"Texture Tray","Touch 3 different textures (smooth, rough, soft) and name them.",24,42,"sensory","experiment",10,"🪶","Sensory vocabulary + tactile awareness.","Use safe everyday items — felt, sandpaper, smooth stone.","Sensory|Vocabulary|Tactile","A small tray with 3 textured items","All items must be larger than a fist (no choking).","sensory|language","Show tray","Place tray in front of the toddler.","Touch + name","Run their finger over each and name 'smooth, rough, soft'.","Toddler picks","Ask them to pick the rough one."
"Door Knock","Practice knocking on a door before entering.",24,42,"social","routine",3,"🚪","Social ritual + impulse control + manners.","Practice on a closed door at home first.","Social ritual|Impulse control|Manners","An interior door","No safety concerns.","social|self","Stand at door","Stand outside a closed door.","Knock + wait","Knock 3 times. Say 'we wait for an answer.'","Open + greet","Open and say hello to whoever (or whatever) is inside."
"Push the Cart","Push a small toy cart back and forth.",18,36,"motor","play",10,"🛒","Gross motor + spatial awareness + sustained engagement.","Use a stable push-toy or laundry basket with weight.","Gross motor|Spatial|Engagement","A push-toy or weighted basket","Make sure path is clear of hazards.","gross_motor|balance","Position cart","Place the cart in front of the toddler.","Show push","Push it slowly in a straight line.","Toddler pushes","Walk alongside as they push the cart."
"Lullaby Wind-Down","Sing a slow lullaby before nap or bedtime.",18,42,"social","mindfulness",8,"🌙","Calms the nervous system + creates predictable transitions.","Use a low, slow voice with one consistent song.","Calming|Routine|Attachment","Dim lights","No safety concerns.","emotional|routine","Lower lights","Dim lights and find a cosy spot.","Sing slowly","Sing your chosen lullaby softly.","Quiet rest","Hold or rock for a minute of quiet after the song."
"Light Switch","Toddler practices turning a light on and off (with adult supervision).",24,42,"science","experiment",5,"💡","Cause-and-effect understanding plus electrical safety vocabulary.","Lift the toddler to reach a low switch only. Never let them climb to switches.","Cause and effect|Safety vocabulary|Body control","A low light switch","Adult must lift the toddler — no climbing on furniture.","cognitive|safety","Show switch","Point at the light and the switch.","Lift + flip","Lift the toddler; let them flip it once.","Talk about light","Say 'on' and 'off' as you do it together."
"Sticky Note Hunt","Stick 5 large sticky notes around the room; toddler finds and collects them.",30,48,"motor","game",10,"🟨","Visual scanning + movement + sense of accomplishment.","Use bright, contrasting paper. Place at toddler-eye level.","Visual scanning|Movement|Achievement","5 large sticky notes","Avoid placing on hot surfaces or near stairs.","gross_motor|focus","Hide notes","Place 5 sticky notes around the room.","Hunt","Walk together; let the toddler peel each off.","Pile them","Count the notes when finished."
"Pillow Mountain","Build a pillow pile and let the toddler climb safely.",24,42,"motor","gross_motor",15,"⛰️","Whole-body strength + spatial planning + joyful risk.","Use soft pillows only; stay within arm's reach.","Body awareness|Risk|Joy","4-6 soft pillows","Adult supervision essential — never leave the toddler.","gross_motor|spatial","Stack pillows","Pile pillows on a soft floor.","Spot the climber","Stay close as the toddler climbs.","Crash + rebuild","Topple and rebuild together."
"Counting Steps","Count steps as the toddler climbs stairs (with adult holding hand).",24,48,"math","real_world",5,"🪜","Number names + walking confidence + bonding.","Hold the toddler's hand on every step. Never let go.","Counting 1-5|Walking|Hand-holding","Stairs and a railing","Adult must hold hand at all times.","numeracy|gross_motor","Start at bottom","Stand together at the bottom step.","Count up","Say one number per step.","Cheer at top","Celebrate reaching the top."
"Fruit Salad Help","Toddler helps wash fruit and place it in a bowl.",24,48,"science","real_world",15,"🍓","Food prep ritual + sensory + helpfulness.","Use only soft, washed fruit. Adult slices.","Sensory|Helpfulness|Routine","Soft fruits|Bowl|Towel","Never give toddler a knife. Adult slices only.","sensory|real_world","Rinse fruit","Rinse a strawberry under cool water together.","Pat dry","Pat the fruit dry with a towel.","Place in bowl","Drop fruit into the bowl. Smile."
"Pat-a-Cake","Sing the classic clapping rhyme together.",18,36,"art","vocal",5,"👏","Rhythm + bonding + early sequencing.","Sit facing each other. Use exaggerated movements.","Rhythm|Bonding|Sequencing","Just hands","No safety concerns.","rhythm|social","Sit face-to-face","Sit close enough to touch hands.","Clap rhythm","Clap a slow rhythm, sing 'pat-a-cake'.","Toddler imitates","Help them clap; cheer attempts."
"Shape Find","Find 3 circles in the room.",30,48,"math","game",8,"⭕","Shape vocabulary + observation.","Pick one shape per round.","Shape names|Observation|Vocabulary","Just the room","No safety concerns.","cognitive|observation","Choose shape","Say 'circles today'.","Point + name","Point at any round thing and name it.","Find more","Help the toddler find 2 more circles."
"Yes / No Game","Ask silly yes/no questions and have toddler nod or shake their head.",24,42,"language","game",5,"❓","Decision-making + answering practice.","Use silly questions to make it fun.","Decisions|Answering|Humor","No materials","No safety concerns.","language|cognitive","Sit close","Sit facing the toddler.","Ask a silly Q","'Is the sky purple?'","Cheer either answer","Celebrate any clear nod or head shake."
"Mat Roll","Toddler rolls on a soft mat or rug.",18,36,"motor","gross_motor",10,"🧘","Vestibular input + body awareness.","Use a flat soft surface; clear nearby furniture.","Vestibular|Body awareness|Joy","Soft rug or yoga mat","No hard objects nearby.","gross_motor|sensory","Lie down","Help toddler lie on their back on the mat.","Slow roll","Gently guide them to roll to their side.","Roll back","Roll the other way; cheer."
"Big Box Hideout","Toddler crawls in and out of a big cardboard box.",24,42,"motor","play",15,"📦","Spatial awareness + imaginative play.","Make sure the box is open and clean.","Spatial|Imagination|Independence","A large clean cardboard box","Never close the box flaps on the toddler.","gross_motor|imagination","Set the box","Place the box on a soft floor.","Show how","Climb in and out yourself to demonstrate.","Toddler explores","Let the toddler crawl in, out, and around."
"Match the Lid","Match plastic container lids to their containers.",30,48,"cognitive","matching",10,"🥡","Matching + fine motor + practical life.","Use 3-5 obvious size pairs.","Matching|Fine motor|Real-world","3-5 plastic containers + matching lids","All plastic must be food-safe and unbreakable.","cognitive|matching","Lay out pairs","Place containers and lids separately on the floor.","Show match","Pick a container; find its lid.","Toddler tries","Hand them a container; cheer when they match."
"Story Acting","Act out a simple story with stuffed animals.",30,48,"language","story",10,"🧸","Imagination + sequencing + storytelling.","Use a familiar story like 'The Three Bears'.","Imagination|Sequencing|Story sense","Stuffed animals","No safety concerns.","language|creative","Pick a story","Tell a short story together.","Cast animals","Assign each animal a role.","Act it out","Move the animals and re-tell the story together."
"Bath Boat","Float a small toy boat in the bath.",24,48,"science","experiment",10,"🛥️","Floating + sinking + sensory.","Adult must stay arm's length during bath.","Floating|Sensory|Curiosity","A toy boat or empty bottle","Never leave the toddler alone in water.","science|sensory","Float the boat","Place the boat on the water.","Push gently","Help the toddler push it to make waves.","Try sinking","Press it under; let it pop back up. Talk about why."
"Two-Step Dance","Step left then step right with the toddler holding hands.",24,42,"art","movement",8,"💃","Rhythm + bilateral coordination.","Use a steady song they enjoy.","Rhythm|Coordination|Joy","Music (optional)","Clear floor space.","rhythm|gross_motor","Hold hands","Stand facing the toddler holding both hands.","Step left","Step left together; toddler follows.","Step right","Step right; repeat to a slow beat."
"Dry Pasta Pour","Pour dry pasta between two cups over a tray.",30,48,"sensory","experiment",10,"🍝","Volume + sensory + fine motor.","Use raw, hard pasta; supervise mouth.","Sensory|Volume|Fine motor","2 cups + dry pasta + tray","Never leave toddler alone with small pieces.","sensory|fine_motor","Tray ready","Place pasta in one cup; tray underneath.","Pour","Pour into the second cup slowly.","Pour back","Repeat the other way; cheer the sound."
"Snack on a Plate","Toddler places snack pieces on their own plate.",24,48,"social","routine",5,"🍪","Self-feeding + sequencing + independence.","Choose safe-sized snack pieces.","Self-feeding|Sequencing|Independence","A plate + safe snack","Avoid choking-size pieces.","self_help|social","Show plate","Hand the toddler an empty plate.","Take pieces","Offer 3 snack pieces to transfer.","Eat together","Eat with them; talk about flavours."
"Doorbell Sound","Practice a polite 'who is it?' when the doorbell rings.",30,48,"social","routine",3,"🔔","Social ritual + safety awareness.","Practice with imaginary doorbells first.","Ritual|Safety|Manners","Doorbell or chime","Adult always opens; never let toddler open alone.","social|safety","Make a ding","Say 'ding-dong!' yourself.","Toddler asks","Prompt: 'who is it?'","Adult opens","Adult opens the door safely."
"Toy Wash","Wash plastic toys in a small basin of water.",30,48,"sensory","real_world",15,"🛁","Sensory + caretaking + sequencing.","Use lukewarm water; minimal soap.","Sensory|Caretaking|Routine","A basin|Plastic toys|Towel","Never leave water unattended.","sensory|self_help","Fill basin","Fill a small basin with warm water.","Wash + scrub","Show how to gently scrub a toy.","Dry + line up","Line dried toys up on a towel."
"Sock Puppet Hello","Make a sock puppet and have it say hi.",24,48,"art","creative",10,"🧦","Imagination + social + creativity.","Use a clean old sock; no buttons.","Imagination|Creativity|Social","A clean sock","Avoid small buttons; just use the sock itself.","creative|social","Put sock on hand","Slip the sock over your hand.","Make it talk","Open and close to make it speak.","Toddler tries","Let the toddler wear it and greet you."
"Open / Close","Toddler practices opening and closing containers with lids.",24,42,"motor","hands_on",10,"🥡","Fine motor + sequencing + persistence.","Use containers with simple twist or snap lids.","Fine motor|Sequencing|Persistence","3 containers with easy lids","All containers must be empty and clean.","fine_motor|cognitive","Hand container","Hand the toddler a closed container.","Show open","Slowly demonstrate opening it.","Try closing","Help close it; cheer success."
"Find Your Shoes","Toddler finds their own shoes before going outside.",24,48,"social","routine",3,"👟","Self-help + responsibility + routine.","Always keep shoes in the same spot.","Self-help|Responsibility|Routine","Their shoes","Adult helps with actual putting-on.","self_help|memory","Ask where","Say 'where are your shoes?'","Toddler finds","Wait for them to walk to the spot.","Bring + sit","They bring the shoes to a sit-down spot."
"Cup of Water Pour","Pour from a small pitcher into a cup.",30,48,"motor","real_world",10,"🥛","Real-life pouring + concentration + control.","Use a tiny pitcher and a stable cup.","Coordination|Control|Real-world","Tiny pitcher|Cup|Tray","Water only — never hot. Towel ready.","fine_motor|self_help","Place tray","Set up on a tray to catch spills.","Pour slowly","Show pouring slowly into a cup.","Toddler tries","Hand over the pitcher with one hand on theirs."
"Magnet Wall","Stick refrigerator magnets in a row or pattern.",24,42,"science","sensory",10,"🧲","Cause-effect with magnetism + fine motor + design.","Use large, child-safe magnets.","Magnetism|Fine motor|Design","Large refrigerator magnets","Avoid small magnets — choking + ingestion danger.","cognitive|fine_motor","Stick one","Show a magnet sticking to the fridge.","Toddler tries","Hand magnets one at a time.","Make a row","Help arrange in a row or shape."
"Soft Pillow Push","Push a pillow across the room as fast as possible.",24,42,"motor","gross_motor",10,"💨","Strength + coordination + planning.","Use a clear floor lane.","Strength|Coordination|Planning","One big pillow","Clear floor of obstacles.","gross_motor|planning","Start line","Put pillow at the start.","Push","Toddler pushes pillow to the other side.","Reset","Bring it back and try again."
"Eye Patch Pirate","Toddler wears a soft eye patch and walks like a pirate.",30,48,"art","play",10,"🏴‍☠️","Imagination + balance with reduced vision + giggles.","Use a soft fabric patch with a stretchy band.","Imagination|Balance|Humor","A soft fabric eye patch","Adult should stay close for balance.","creative|gross_motor","Put on patch","Place the patch gently over one eye.","Walk together","Hold hand and walk a few steps.","Off + on again","Take off and put back on with giggles."
"Whisper Game","Whisper a one-word message into the toddler's ear.",30,48,"language","game",5,"🤫","Listening + curiosity + connection.","Use very simple one-word messages.","Listening|Curiosity|Quiet voice","Just your voice","No safety concerns.","language|listening","Get close","Sit cheek-to-cheek with the toddler.","Whisper a word","Whisper 'banana' or another fun word.","Toddler repeats","Wait for them to whisper it back; cheer."
"Wave to the Mirror","Greet yourself in a mirror — different waves each time.",24,42,"social","interactive",5,"👋","Self-recognition + body variety + joy.","Use a stable, mounted mirror.","Self-recognition|Body|Joy","A wall mirror","Mirror must be mounted securely.","social|gross_motor","Big wave","Wave high; cheer.","Tiny wave","Wave with just fingers.","Two-handed wave","Wave with both hands at once."
"Banana Roll","Roll a banana between the floor and palm.",24,42,"motor","game",5,"🍌","Hand-eye + texture + giggles.","Use a fresh whole banana; supervise mouth.","Hand-eye|Texture|Joy","A whole banana","Adult supervises eating.","fine_motor|sensory","Place banana","Lay a banana between you on the floor.","Roll back-and-forth","Roll it gently between palms.","Eat together","Peel and share when done."
"Quiet Cuddle","Sit close in silence for one minute.",18,42,"social","mindfulness",3,"🤗","Self-regulation + attachment.","No phones or screens. Just presence.","Calm|Attachment|Self-regulation","Just yourselves","No safety concerns.","emotional|attachment","Sit close","Sit on the couch or floor together.","Breathe","Take slow breaths; close your eyes.","Whisper a word","End by whispering 'I love you' to the toddler."
"Spoon Tap Beat","Tap two metal spoons together to a slow beat.",24,42,"art","vocal",5,"🥄","Rhythm + cause-effect + sound.","Use spoons that aren't loud enough to startle.","Rhythm|Cause-effect|Joy","2 metal teaspoons","Stay close; supervise mouth.","rhythm|fine_motor","Hand spoons","Give the toddler one spoon, keep one.","Slow tap","Tap yours; they tap theirs.","Faster tap","Speed up; slow down; giggle."
